Retriever,top_k,LLM mode,# tests,# correct,Accuracy %,Avg Retrieval time (s),Avg Generation time (s)
dense - FAISS,1,local - deepssek,8,5,62.5,0.16,10.59
dense - FAISS,3,local - deepssek,8,7,87.5,0.17,14.06
dense - FAISS,9,local - deepssek,8,7,87.5,0.22,23.39
tfidf,1,local - deepssek,8,4,50,0,7.56
tfidf,3,local - deepssek,8,7,87.5,0,13.97
tfidf,9,local - deepssek,8,7,87.5,0,23.37
bm25,1,local - deepssek,8,5,62.5,0,8.18
bm25,3,local - deepssek,8,7,87.5,0,11.83
bm25,9,local - deepssek,8,8,100,0,20.62
dense - FAISS,1,OpenAI - Gpt-4o-mini,8,5,62.5,0.07,0.91
dense - FAISS,3,OpenAI - Gpt-4o-mini,8,7,87.5,0.06,0.9
dense - FAISS,9,OpenAI - Gpt-4o-mini,8,8,100,0.09,1.68
tfidf,1,OpenAI - Gpt-4o-mini,8,7,87.5,0,1.3
tfidf,3,OpenAI - Gpt-4o-mini,8,8,100,0,1.09
tfidf,9,OpenAI - Gpt-4o-mini,8,8,100,0,1.3
bm25,1,OpenAI - Gpt-4o-mini,8,6,75,0,1.02
bm25,3,OpenAI - Gpt-4o-mini,8,7,87.5,0,1.06
bm25,9,OpenAI - Gpt-4o-mini,8,8,100,0,1.51
